,end,val,accn,fy,fp,form,filed,frame,fact,start
4,2010-01-31,188241000.0,0001193125-11-085046,2010,FY,10-K,2011-03-31,CY2009Q4I,AccountsPayableCurrent,
14,2011-01-30,227963000.0,0001193125-12-140070,2011,FY,10-K,2012-03-29,CY2010Q4I,AccountsPayableCurrent,
25,2012-01-29,218329000.0,0001193125-13-142309,2012,FY,10-K,2013-04-04,CY2011Q4I,AccountsPayableCurrent,
36,2013-02-03,259162000.0,0001193125-14-129974,2013,FY,10-K,2014-04-03,CY2012Q4I,AccountsPayableCurrent,
47,2014-02-02,404791000.0,0001193125-15-118009,2014,FY,10-K,2015-04-02,CY2013Q4I,AccountsPayableCurrent,
58,2015-02-01,397037000.0,0001193125-16-525847,2015,FY,10-K,2016-03-31,CY2014Q4I,AccountsPayableCurrent,
69,2016-01-31,447412000.0,0001193125-17-104341,2016,FY,10-K,2017-03-30,CY2015Q4I,AccountsPayableCurrent,
80,2017-01-29,453710000.0,0001193125-18-102232,2017,FY,10-K,2018-03-29,CY2016Q4I,AccountsPayableCurrent,
91,2018-01-28,457144000.0,0001193125-19-097973,2018,FY,10-K,2019-04-04,CY2017Q4I,AccountsPayableCurrent,
102,2019-02-03,526702000.0,0001193125-20-088937,2019,FY,10-K,2020-03-27,CY2018Q4I,AccountsPayableCurrent,
113,2020-02-02,521235000.0,0001193125-21-100319,2020,FY,10-K,2021-03-30,CY2019Q4I,AccountsPayableCurrent,
124,2021-01-31,542992000.0,0001628280-22-007494,2021,FY,10-K,2022-03-28,CY2020Q4I,AccountsPayableCurrent,
135,2022-01-30,612512000.0,0001628280-23-009175,2022,FY,10-K,2023-03-24,CY2021Q4I,AccountsPayableCurrent,
4,2010-01-31,48260000.0,0001193125-11-085046,2010,FY,10-K,2011-03-31,CY2009Q4I,AccruedIncomeTaxesCurrent,
14,2011-01-30,41997000.0,0001193125-12-140070,2011,FY,10-K,2012-03-29,CY2010Q4I,AccruedIncomeTaxesCurrent,
25,2012-01-29,22435000.0,0001193125-13-142309,2012,FY,10-K,2013-04-04,CY2011Q4I,AccruedIncomeTaxesCurrent,
36,2013-02-03,41849000.0,0001193125-14-129974,2013,FY,10-K,2014-04-03,CY2012Q4I,AccruedIncomeTaxesCurrent,
47,2014-02-02,49365000.0,0001193125-15-118009,2014,FY,10-K,2015-04-02,CY2013Q4I,AccruedIncomeTaxesCurrent,
58,2015-02-01,32488000.0,0001193125-16-525847,2015,FY,10-K,2016-03-31,CY2014Q4I,AccruedIncomeTaxesCurrent,
69,2016-01-31,67052000.0,0001193125-17-104341,2016,FY,10-K,2017-03-30,CY2015Q4I,AccruedIncomeTaxesCurrent,
80,2017-01-29,23245000.0,0001193125-18-102232,2017,FY,10-K,2018-03-29,CY2016Q4I,AccruedIncomeTaxesCurrent,
91,2018-01-28,56783000.0,0001193125-19-097973,2018,FY,10-K,2019-04-04,CY2017Q4I,AccruedIncomeTaxesCurrent,
102,2019-02-03,21461000.0,0001193125-20-088937,2019,FY,10-K,2020-03-27,CY2018Q4I,AccruedIncomeTaxesCurrent,
113,2020-02-02,22501000.0,0001193125-21-100319,2020,FY,10-K,2021-03-30,CY2019Q4I,AccruedIncomeTaxesCurrent,
124,2021-01-31,69476000.0,0001628280-22-007494,2021,FY,10-K,2022-03-28,CY2020Q4I,AccruedIncomeTaxesCurrent,
135,2022-01-30,79554000.0,0001628280-23-009175,2022,FY,10-K,2023-03-24,CY2021Q4I,AccruedIncomeTaxesCurrent,
4,2010-01-31,107710000.0,0001193125-11-085046,2010,FY,10-K,2011-03-31,CY2009Q4I,AccruedLiabilitiesCurrent,
14,2011-01-30,122440000.0,0001193125-12-140070,2011,FY,10-K,2012-03-29,CY2010Q4I,AccruedLiabilitiesCurrent,
25,2012-01-29,111774000.0,0001193125-13-142309,2012,FY,10-K,2013-04-04,CY2011Q4I,AccruedLiabilitiesCurrent,
36,2013-02-03,120632000.0,0001193125-14-129974,2013,FY,10-K,2014-04-03,CY2012Q4I,AccruedLiabilitiesCurrent,
47,2014-02-02,138181000.0,0001193125-15-118009,2014,FY,10-K,2015-04-02,CY2013Q4I,AccruedLiabilitiesCurrent,
58,2015-02-01,136012000.0,0001193125-16-525847,2015,FY,10-K,2016-03-31,CY2014Q4I,AccruedLiabilitiesCurrent,
69,2016-01-31,127122000.0,0001193125-17-104341,2016,FY,10-K,2017-03-30,CY2015Q4I,AccruedLiabilitiesCurrent,
80,2017-01-29,130187000.0,0001193125-18-102232,2017,FY,10-K,2018-03-29,CY2016Q4I,AccruedLiabilitiesCurrent,
91,2018-01-28,134207000.0,0001193125-19-097973,2018,FY,10-K,2019-04-04,CY2017Q4I,AccruedLiabilitiesCurrent,
102,2019-02-03,163559000.0,0001193125-20-088937,2019,FY,10-K,2020-03-27,CY2018Q4I,AccruedLiabilitiesCurrent,
113,2020-02-02,175003000.0,0001193125-21-100319,2020,FY,10-K,2021-03-30,CY2019Q4I,AccruedLiabilitiesCurrent,
124,2021-01-31,267592000.0,0001628280-22-007494,2021,FY,10-K,2022-03-28,CY2020Q4I,AccruedLiabilitiesCurrent,
135,2022-01-30,319924000.0,0001628280-23-009175,2022,FY,10-K,2023-03-24,CY2021Q4I,AccruedLiabilitiesCurrent,
0,2011-01-30,1127493000.0,0001193125-12-140070,2011,FY,10-K,2012-03-29,CY2010Q4I,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,
2,2012-01-29,1199805000.0,0001193125-13-142309,2012,FY,10-K,2013-04-04,CY2011Q4I,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,
4,2013-02-03,1282905000.0,0001193125-14-129974,2013,FY,10-K,2014-04-03,CY2012Q4I,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,
6,2014-02-02,1382475000.0,0001193125-15-118009,2014,FY,10-K,2015-04-02,CY2013Q4I,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,
8,2015-02-01,1386465000.0,0001193125-16-525847,2015,FY,10-K,2016-03-31,CY2014Q4I,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,
10,2016-01-31,1454307000.0,0001193125-17-104341,2016,FY,10-K,2017-03-30,CY2015Q4I,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,
12,2017-01-29,1586039000.0,0001193125-18-102232,2017,FY,10-K,2018-03-29,CY2016Q4I,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,
14,2018-01-28,1686829000.0,0001193125-19-097973,2018,FY,10-K,2019-04-04,CY2017Q4I,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,
16,2019-02-03,1812767000.0,0001193125-20-088937,2019,FY,10-K,2020-03-27,CY2018Q4I,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,
18,2020-02-02,1883350000.0,0001193125-21-100319,2020,FY,10-K,2021-03-30,CY2019Q4I,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,
20,2021-01-31,1953975000.0,0001628280-22-007494,2021,FY,10-K,2022-03-28,CY2020Q4I,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,
22,2022-01-30,2062335000.0,0001628280-23-009175,2022,FY,10-K,2023-03-24,CY2021Q4I,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,
23,2023-01-29,2154009000.0,0001628280-23-009175,2022,FY,10-K,2023-03-24,CY2022Q4I,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,
2,2010-01-31,10387000.0,0001193125-11-085046,2010,FY,10-K,2011-03-31,CY2009Q4I,AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,
10,2011-01-30,12990000.0,0001193125-12-140070,2011,FY,10-K,2012-03-29,CY2010Q4I,AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,
21,2012-01-29,12590000.0,0001193125-13-142309,2012,FY,10-K,2013-04-04,CY2011Q4I,AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,
32,2013-02-03,13633000.0,0001193125-14-129974,2013,FY,10-K,2014-04-03,CY2012Q4I,AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,
43,2014-02-02,6524000.0,0001193125-15-118009,2014,FY,10-K,2015-04-02,CY2013Q4I,AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,
4,2015-02-01,-2548000.0,0001193125-16-525847,2015,FY,10-K,2016-03-31,CY2014Q4I,AccumulatedOtherComprehensiveIncomeLossNetOfTax,
14,2016-01-31,-10616000.0,0001193125-17-104341,2016,FY,10-K,2017-03-30,CY2015Q4I,AccumulatedOtherComprehensiveIncomeLossNetOfTax,
