,2023-01-29,2022-01-30,2021-01-31,2020-02-02,2019-02-03,2018-01-28,2017-01-29,2016-01-31,2015-02-01,2014-02-02,2013-02-03,2012-01-29,2011-01-30,2010-01-31
us-gaap_NetCashProvidedByUsedInOperatingActivitiesAbstract,,,,,,,,,,,,,,
us-gaap_ProfitLoss,1127904.0,1126337.0,680714.0,356062.0,333684.0,259545.0,305387.0,,,,,,,
us-gaap_AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivitiesAbstract,,,,,,,,,,,,,,
us-gaap_DepreciationDepletionAndAmortization,214153.0,196087.0,188655.0,187759.0,188808.0,183077.0,173195.0,167760.0,162273.0,149795.0,134453.0,130553.0,144630.0,151796.0
us-gaap_GainLossOnSalesOfAssetsAndAssetImpairmentCharges,25116.0,1015.0,32365.0,1755.0,10209.0,1889.0,3806.0,4339.0,2410.0,2764.0,8388.0,2880.0,,
wsm_AmortizationOfDeferredLeaseIncentives,-3019.0,-4282.0,-5783.0,-7714.0,,,,,,,,,,
wsm_NoncashLeaseExpense,231350.0,216888.0,216368.0,215810.0,,,,,,,,,,
us-gaap_DeferredIncomeTaxExpenseBenefit,-23823.0,2535.0,-13061.0,-2557.0,23639.0,63381.0,7114.0,-7436.0,-248.0,-28344.0,-9029.0,14210.0,23566.0,-23595.0
us-gaap_ShareBasedCompensation,90268.0,95240.0,73185.0,64163.0,59802.0,42988.0,51116.0,41357.0,44632.0,38788.0,31042.0,24336.0,26630.0,24989.0
us-gaap_OtherNoncashIncomeExpense,680.0,288.0,-264.0,-26.0,-579.0,-135.0,-423.0,149.0,595.0,0.0,0.0,17.0,0.0,0.0
us-gaap_IncreaseDecreaseInOperatingCapitalAbstract,,,,,,,,,,,,,,
us-gaap_IncreaseDecreaseInAccountsAndOtherReceivables,15687.0,11896.0,-31503.0,-5034.0,-15329.0,149.0,-9794.0,-12849.0,-9366.0,786.0,-16408.0,-4763.0,3477.0,-6620.0
us-gaap_IncreaseDecreaseInInventories,-208908.0,-239981.0,99144.0,24219.0,-70331.0,-80235.0,4493.0,-92647.0,-76964.0,-174664.0,-85981.0,-34853.0,-46464.0,108332.0
us-gaap_IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,-11823.0,-2060.0,-16388.0,-3189.0,,,,,,,,,,
us-gaap_IncreaseDecreaseInAccountsPayable,-113521.0,56674.0,25489.0,-11051.0,62377.0,2549.0,4276.0,60507.0,4455.0,135095.0,22461.0,-21154.0,35946.0,29202.0
us-gaap_IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities,-61995.0,49460.0,129142.0,13259.0,45976.0,9597.0,19712.0,,,,,,,
us-gaap_IncreaseDecreaseInDeferredRevenue,31839.0,75460.0,82841.0,-640.0,38899.0,-3002.0,2020.0,35877.0,34400.0,21578.0,16962.0,-2242.0,-3112.0,2353.0
us-gaap_IncreaseDecreaseInOperatingLeaseLiability,-242855.0,-224567.0,-232989.0,-226257.0,,,,,,,,,,
us-gaap_IncreaseDecreaseInAccruedIncomeTaxesPayable,-18231.0,10157.0,46933.0,735.0,-35208.0,33541.0,-43803.0,34548.0,-17034.0,7478.0,19352.0,-19562.0,-6308.0,48285.0
us-gaap_NetCashProvidedByUsedInOperatingActivities,1052822.0,1371147.0,1274848.0,607294.0,585986.0,499704.0,524709.0,,,453769.0,364127.0,291334.0,355989.0,490718.0
us-gaap_NetCashProvidedByUsedInInvestingActivitiesAbstract,,,,,,,,,,,,,,
us-gaap_PaymentsToAcquirePropertyPlantAndEquipment,-354117.0,-226517.0,-169513.0,-186276.0,-190102.0,-189712.0,-197414.0,-202935.0,-204800.0,-193953.0,-205404.0,-130353.0,-61906.0,-72263.0
us-gaap_PaymentsForProceedsFromOtherInvestingActivities,162.0,270.0,629.0,728.0,2203.0,480.0,439.0,769.0,1911.0,45.0,-203.0,232.0,-400.0,0.0
us-gaap_NetCashProvidedByUsedInInvestingActivities,-353955.0,-226247.0,-168884.0,-185548.0,-187899.0,-269760.0,-196975.0,,,-190624.0,-206815.0,-157704.0,-63995.0,-71230.0
us-gaap_NetCashProvidedByUsedInFinancingActivitiesAbstract,,,,,,,,,,,,,,
us-gaap_PaymentsForRepurchaseOfCommonStock,-880038.0,-899433.0,-150000.0,-148834.0,-295304.0,-196179.0,-151272.0,-224995.0,-224377.0,-239274.0,-155080.0,-194429.0,-125000.0,0.0
us-gaap_PaymentsOfDividendsCommonStock,-217345.0,-187539.0,-157645.0,-150640.0,-140325.0,-135010.0,,,,,,,,
us-gaap_PaymentsRelatedToTaxWithholdingForShareBasedCompensation,-81290.0,-104235.0,-31729.0,-27752.0,-14437.0,-18130.0,-27062.0,-31790.0,-56977.0,-18096.0,-18637.0,-11656.0,-17918.0,
us-gaap_RepaymentsOfLongTermDebt,0.0,-300000.0,0.0,0.0,,,,-1968.0,-1785.0,-1724.0,-1796.0,-1626.0,-1587.0,-14702.0
us-gaap_PaymentsOfDebtIssuanceCosts,0.0,-778.0,-3645.0,0.0,0.0,-1191.0,-359.0,-135.0,,,,,,
us-gaap_ProceedsFromLinesOfCredit,0.0,0.0,487823.0,100000.0,60000.0,170000.0,125000.0,200000.0,90000.0,0.0,0.0,,,
us-gaap_RepaymentsOfLinesOfCredit,0.0,0.0,-487823.0,-100000.0,-60000.0,-170000.0,-125000.0,-200000.0,-90000.0,0.0,0.0,,,
us-gaap_NetCashProvidedByUsedInFinancingActivities,-1178673.0,-1491985.0,-343019.0,-327226.0,-450066.0,-51707.0,-305806.0,,,-355376.0,-236445.0,-259039.0,-178315.0,-55498.0
us-gaap_EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,-3188.0,-2914.0,5230.0,-1312.0,,,,,,,,,,
us-gaap_CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,-482994.0,-349999.0,768175.0,93208.0,-51182.0,,,,,,,,,
us-gaap_CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,850338.0,1200337.0,432162.0,338954.0,,,,,,,,,,
us-gaap_SupplementalCashFlowInformationAbstract,,,,,,,,,,,,,,
us-gaap_InterestPaidNet,788.0,3090.0,18346.0,12682.0,11424.0,2915.0,2202.0,,,,,,,
us-gaap_IncomeTaxesPaidNet,400776.0,306158.0,162842.0,113344.0,107951.0,99062.0,203426.0,134478.0,172305.0,186968.0,131440.0,150657.0,98617.0,-8593.0
us-gaap_NoncashInvestingAndFinancingItemsAbstract,,,,,,,,,,,,,,
us-gaap_CapitalExpendituresIncurredButNotYetPaid,6633.0,267.0,753.0,2386.0,2773.0,1257.0,625.0,2715.0,4808.0,9034.0,,,,
us-gaap_AmortizationOfLeaseIncentives,,,-5783.0,-7714.0,-26199.0,-25372.0,-25212.0,-24721.0,-24419.0,-25382.0,,,,
us-gaap_IncreaseDecreaseInOtherOperatingAssets,,,-16388.0,-3189.0,-54691.0,-15475.0,-7521.0,-9245.0,-61.0,-13649.0,-12204.0,-2065.0,-1729.0,23349.0
wsm_IncreasesDecreasesInDeferredRentAndLeaseIncentiveLiability,,,0.0,0.0,24929.0,28226.0,35559.0,31334.0,23297.0,13238.0,18803.0,7570.0,-2550.0,
wsm_IncreaseDecreaseInOperatingLeaseLiabilities,,,-232989.0,-226257.0,,,,,,,,,,
