,2023-01-29,2022-01-30,2021-01-31,2020-02-02,2019-02-03,2018-01-28,2017-01-29,2016-01-31,2015-02-01,2014-02-02,2013-02-03,2012-01-29,2011-01-30
us-gaap_AssetsCurrentAbstract,None,None,None,None,None,None,None,None,None,None,None,None,None
us-gaap_CashAndCashEquivalentsAtCarryingValue,367344,850338,1200337,432162,338954,390136,213713,193647,222927,330121,424555,502757,628403000
us-gaap_ReceivablesNetCurrent,115685,131683,143728,111737,107102,90119,88803,79304,67465,60330,62985,45961,41565000
us-gaap_InventoryNet,1456123,1246372,1006299,1100544,1124992,1061593,977505,978138,887701,813160,640024,553461,513381000
us-gaap_PrepaidExpenseCurrent,64961,69252,93822,90426,101356,62204,52882,44654,36265,35309,26339,24188,21120000
us-gaap_OtherAssetsCurrent,31967,26249,22894,20766,21939,11876,10652,11438,13005,10852,9819,9229,8176000
us-gaap_AssetsCurrent,2036080,2323894,2467080,1755635,1694343,1636445,1367180,1336100,1391923,1419103,1316772,1276366,1347594000
us-gaap_PropertyPlantAndEquipmentNet,1065381,920773,873894,929038,929635,932283,923283,886813,883012,849293,812037,734672,730556000
us-gaap_OperatingLeaseRightOfUseAsset,1286452,1132764,1086009,1166383,None,,,,,,,,
us-gaap_DeferredIncomeTaxAssetsNet,81389,56585,61854,47977,,,,,,,,,
us-gaap_Goodwill,77307,85354,85446,85343,85382,18838,,,,,,,
us-gaap_OtherAssetsNoncurrent,116407,106250,87141,69666,59429,130877,51178,52730,51077,54514,46472,37418,20966000
us-gaap_Assets,4663016,4625620,4661424,4054042,2812844,2785749,2476879,2417427,2330277,2336734,2187679,2060838,2131762000
us-gaap_LiabilitiesCurrentAbstract,None,None,None,None,None,None,None,None,None,None,None,None,None
us-gaap_AccountsPayableCurrent,508321,612512,542992,521235,526702,457144,453710,447412,397037,404791,259162,218329,227963000
us-gaap_AccruedLiabilitiesCurrent,247594,319924,267592,175003,163559,134207,130187,127122,136012,138181,120632,111774,122440000
us-gaap_ContractWithCustomerLiabilityCurrent,479229,447770,373164,289613,290445,300607,294276,296827,261679,228193,207415,190417,192450000
us-gaap_AccruedIncomeTaxesCurrent,61204,79554,69476,22501,21461,56783,23245,67052,32488,49365,41849,22435,41997000
us-gaap_OperatingLeaseLiabilityCurrent,231965,217409,209754,227923,None,,,,,,,,
us-gaap_OtherLiabilitiesCurrent,108138,94517,85672,73462,72645,59082,59838,58014,46764,38781,26345,27049,25324000
us-gaap_LiabilitiesCurrent,1636451,1771686,1848000,1609555,1074812,1007823,961256,996427,875948,861096,657127,571799,611716000
wsm_DeferredLeaseIncentivesLiabilityNoncurrent,10027,16360,20612,27659,201374,202134,196188,173061,166925,157856,171198,181762,
us-gaap_OperatingLeaseLiabilityNoncurrent,1211693,1066839,1025057,1094579,None,,,,,,,,
us-gaap_OtherLiabilitiesNoncurrent,103794,106528,116570,86389,81324,72804,71215,49713,62698,59812,46463,46537,51918000
us-gaap_Liabilities,2961965,2961413,3010239,2818182,1657130,1582183,1228659,1219201,1105571,1080732,878541,805576,872899000
us-gaap_CommitmentsAndContingencies,None,None,None,,None,None,None,None,None,None,None,None,None
us-gaap_StockholdersEquityAbstract,None,None,None,None,None,None,None,None,None,None,None,None,None
us-gaap_PreferredStockValue,0,0,0,None,None,None,None,None,None,0,0,0,0
us-gaap_CommonStockValue,663,720,764,772,789,837,873,896,919,941,977,1005,1049000
us-gaap_AdditionalPaidInCapital,573117,600942,638375,605822,581900,562814,556928,541307,527261,522595,503616,478720,466885000
us-gaap_RetainedEarningsAccumulatedDeficit,1141819,1074084,1019762,644794,584333,647422,701702,668545,701214,729043,790912,762947,777939000
us-gaap_AccumulatedOtherComprehensiveIncomeLossNetOfTax,-13809,-10828,-7117,-14587,-11073,-6782,-9903,-10616,-2548,,,,
us-gaap_TreasuryStockCommonValue,-739,-711,-599,-941,-235,-725,-1380,-1906,-2140,-3101,0,,
us-gaap_StockholdersEquity,1701051,1664207,1651185,1235860,1155714,1203566,1248220,1198226,1224706,1256002,1309138,1255262,1258863000
us-gaap_LiabilitiesAndStockholdersEquity,4663016,4625620,4661424,4054042,2812844,2785749,2476879,2417427,2330277,2336734,2187679,2060838,2131762000
us-gaap_LongTermDebtCurrent,,,299350,299818,None,,,,,,,,
us-gaap_DeferredTaxAssetsNetNoncurrent,,,,,44055,67306,135238,141784,4265,13824,12398,12382,32646000
us-gaap_LongTermDebtNoncurrent,,,,,None,299422,None,,,,,,
us-gaap_PrepaidAdvertising,,,,,,20517,23625,28919,33942,33556,37231,34294,36825000
us-gaap_DeferredTaxAssetsNetCurrent,,,,,,,,,None,121486,99764,91744,85612000
us-gaap_DebtCurrent,,,,,,,,,None,1785,1724,1795,1542000
us-gaap_RestrictedCashAndCashEquivalentsAtCarryingValue,,,,,,,,,,14289,16055,14732,12512000
us-gaap_LongTermDebtAndCapitalLeaseObligations,,,,,,,,,,1968,3753,5478,7130000
us-gaap_AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,,,,,,,,,,6524,13633,12590,12990000
wsm_DeferredRentAndLeaseIncentiveLiabilityNoncurrent,,,,,,,,,,,,,202135000
