,2023-01-29,2022-01-30,2021-01-31,2020-02-02,2019-02-03,2018-01-28,2017-01-29,2016-01-31,2015-02-01,2014-02-02,2013-02-03,2012-01-29,2011-01-30
us-gaap_IncomeStatementAbstract,None,None,None,,,,,,,,,,None
us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax,8674417,8245936,6783189,5898008,5671593,5292359,,,,,,,
wsm_CostOfGoodsSoldAndOccupancyExpenses,4996684,4613973,4146920,3758916,3570580,3360648,3200502,3131876,2898215,2683673,2450394,2261039,2130299
us-gaap_GrossProfit,3677733,3631963,2636269,2139092,2101013,1931711,1883310,1844214,1800504,1704216,1592476,1459856,1373859
us-gaap_SellingGeneralAndAdministrativeExpense,2179311,2178847,1725572,1673218,1665060,1477900,1410711,1355580,1298239,1252118,1183313,1078124,1050445
us-gaap_OperatingIncomeLoss,1498422,1453116,910697,465874,435953,453811,472599,488634,502265,452098,409163,381732,323414
us-gaap_InterestIncomeExpenseNonoperatingNet,-2260,1865,16231,,,,,627,,,,,
us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,1500682,1451251,894466,457021,429247,452439,471911,488007,,,,,
us-gaap_IncomeTaxExpenseBenefit,372778,324914,213752,100959,95563,192894,166524,177939,193349,173780,153226,144899,122833
us-gaap_NetIncomeLoss,1127904,1126337,680714,356062,333684,259545,305387,310068,308854,278902,256730,236931,200227
us-gaap_EarningsPerShareBasic,16.58,15.17,8.81,4.56,4.10,3.03,3.45,3.42,3.30,2.89,2.59,2.27,1.87
us-gaap_EarningsPerShareDiluted,16.32,14.75,8.61,4.49,4.05,3.02,3.41,3.37,3.24,2.82,2.54,2.22,1.83
us-gaap_WeightedAverageNumberOfSharesOutstandingAbstract,None,None,None,None,None,None,None,None,None,None,None,None,None
us-gaap_WeightedAverageNumberOfSharesOutstandingBasic,68021,74272,77260,78108,81420,85592,88594,90787,93634,96669,99266,104352,106956
us-gaap_WeightedAverageNumberOfDilutedSharesOutstanding,69100,76354,79055,79225,82340,86080,89462,92102,95200,98765,101051,106582,109522
wsm_NetInterestIncomeAndExpense,,,,8853,6706,1372,688,,62,-584,-793,-98,354
us-gaap_SalesRevenueNet,,,,,,,5083812,4976090,4698719,4387889,4042870,3720895,3504158
us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,,,,,,,,,502203,452682,409956,381830,323060
