,us-gaap_AssetsCurrentAbstract,us-gaap_CashAndCashEquivalentsAtCarryingValue,us-gaap_ReceivablesNetCurrent,us-gaap_InventoryNet,us-gaap_PrepaidExpenseCurrent,us-gaap_OtherAssetsCurrent,us-gaap_AssetsCurrent,us-gaap_PropertyPlantAndEquipmentNet,us-gaap_OperatingLeaseRightOfUseAsset,us-gaap_DeferredIncomeTaxAssetsNet,us-gaap_Goodwill,us-gaap_OtherAssetsNoncurrent,us-gaap_Assets,us-gaap_LiabilitiesCurrentAbstract,us-gaap_AccountsPayableCurrent,us-gaap_AccruedLiabilitiesCurrent,us-gaap_ContractWithCustomerLiabilityCurrent,us-gaap_AccruedIncomeTaxesCurrent,us-gaap_OperatingLeaseLiabilityCurrent,us-gaap_OtherLiabilitiesCurrent,us-gaap_LiabilitiesCurrent,wsm_DeferredLeaseIncentivesLiabilityNoncurrent,us-gaap_OperatingLeaseLiabilityNoncurrent,us-gaap_OtherLiabilitiesNoncurrent,us-gaap_Liabilities,us-gaap_CommitmentsAndContingencies,us-gaap_StockholdersEquityAbstract,us-gaap_PreferredStockValue,us-gaap_CommonStockValue,us-gaap_AdditionalPaidInCapital,us-gaap_RetainedEarningsAccumulatedDeficit,us-gaap_AccumulatedOtherComprehensiveIncomeLossNetOfTax,us-gaap_TreasuryStockCommonValue,us-gaap_StockholdersEquity,us-gaap_LiabilitiesAndStockholdersEquity,us-gaap_LongTermDebtCurrent,us-gaap_TreasuryStockValue,wsm_DeferredRevenuesAndCreditsCurrent,wsm_DeferredRentAndLeaseIncentivesLiabilityNoncurrent,us-gaap_DeferredTaxAssetsNetNoncurrent,us-gaap_DeferredRevenueAndCreditsCurrent,us-gaap_LongTermDebtNoncurrent,us-gaap_PrepaidAdvertising,us-gaap_DeferredTaxAssetsNetCurrent,us-gaap_DebtCurrent,us-gaap_RestrictedCashAndCashEquivalentsAtCarryingValue,us-gaap_LongTermDebtAndCapitalLeaseObligations,us-gaap_AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,wsm_DeferredRentAndLeaseIncentiveLiabilityNoncurrent
2023-01-29,,367344,115685,1456123,64961,31967,2036080,1065381,1286452,81389,77307,116407,4663016,,508321,247594,479229,61204,231965,108138,1636451,10027,1211693,103794,2961965,,,0,663,573117,1141819,-13809,-739,1701051,4663016,,,,,,,,,,,,,,
2022-01-30,,850338,131683,1246372,69252,26249,2323894,920773,1132764,56585,85354,106250,4625620,,612512,319924,447770,79554,217409,94517,1771686,16360,1066839,106528,2961413,,,0,720,600942,1074084,-10828,-711,1664207,4625620,,,,,,,,,,,,,,
2022-01-30,,850338,131683,1246372,69252,26249,2323894,920773,1132764,56585,85354,106250,4625620,,612512,319924,447770,79554,217409,94517,1771686,16360,1066839,106528,2961413,,,0,720,600942,1074084,-10828,,1664207,4625620,0,-711,,,,,,,,,,,,
2021-01-31,,1200337,143728,1006299,93822,22894,2467080,873894,1086009,61854,85446,87141,4661424,,542992,267592,373164,69476,209754,85672,1848000,20612,1025057,116570,3010239,,,0,764,638375,1019762,-7117,,1651185,4661424,299350,-599,,,,,,,,,,,,
2021-01-31,,1200337,143728,1006299,93822,22894,2467080,873894,1086009,61854,85446,87141,4661424,,542992,267592,,69476,209754,85672,1848000,,1025057,116570,3010239,,,,764,638375,1019762,-7117,,1651185,4661424,299350,-599,373164,20612,,,,,,,,,,
2020-02-02,,432162,111737,1100544,90426,20766,1755635,929038,1166383,47977,85343,69666,4054042,,521235,175003,,22501,227923,73462,1609555,,1094579,86389,2818182,,,,772,605822,644794,-14587,,1235860,4054042,299818,-941,289613,27659,,,,,,,,,,
2020-02-02,,432162,111737,1100544,90426,20766,1755635,929038,1166383,,85343,69666,4054042,,521235,175003,,22501,227923,73462,1609555,,1094579,86389,2818182,,,,772,605822,644794,-14587,,1235860,4054042,299818,-941,,27659,47977,289613,299620,,,,,,,
2019-02-03,,338954,107102,1124992,101356,21939,1694343,929635,,,85382,59429,2812844,,526702,163559,,21461,,72645,1074812,,,81324,1657130,,,,789,581900,584333,-11073,,1155714,2812844,,-235,,201374,44055,290445,,,,,,,,
2019-02-03,,338954,107102,1124992,101356,21939,1694343,929635,,,85382,59429,2812844,,526702,163559,,21461,,72645,1074812,,,81324,1657130,,,,789,581900,584333,-11073,,1155714,2812844,,-235,,201374,44055,290445,299620,0,,,,,,
2018-01-28,,390136,90119,1061593,62204,11876,1636445,932283,,,18838,130877,2785749,,457144,134207,,56783,,59082,1007823,,,72804,1582183,,,,837,562814,647422,-6782,,1203566,2785749,,-725,,202134,67306,300607,299422,20517,,,,,,
